Gamma,Lambda,Accuracy
2.223e-05,0.00828643,100.0
2.223e-05,0.01098541,100.0
2.223e-05,0.01456348,100.0
2.223e-05,0.01930698,100.0
2.223e-05,0.02559548,100.0
2.223e-05,0.03393222,100.0
2.223e-05,0.04498433,100.0
2.223e-05,0.05963623,100.0
2.223e-05,0.07906043,100.0
2.223e-05,0.10481131,100.0
2.223e-05,0.13894955,100.0
2.223e-05,0.184207,100.0
2.223e-05,0.24420531,100.0
2.223e-05,0.32374575,100.0
2.223e-05,0.42919343,100.0
2.223e-05,0.5689866,100.0
2.223e-05,0.75431201,100.0
2.223e-05,1.0,100.0
2.947e-05,1e-06,99.72826086956522
2.947e-05,1.33e-06,99.72826086956522
2.947e-05,1.76e-06,99.72826086956522
2.947e-05,2.33e-06,99.72826086956522
2.947e-05,3.09e-06,99.72826086956522
2.947e-05,4.09e-06,99.72826086956522
2.947e-05,5.43e-06,99.72826086956522
2.947e-05,7.2e-06,99.72826086956522
2.947e-05,9.54e-06,99.72826086956522
2.947e-05,1.265e-05,99.72826086956522
2.947e-05,1.677e-05,99.81884057971014
2.947e-05,2.223e-05,99.81884057971014
2.947e-05,2.947e-05,99.81884057971014
2.947e-05,3.907e-05,99.81884057971014
2.947e-05,5.179e-05,99.81884057971014
2.947e-05,6.866e-05,99.81884057971014
2.947e-05,9.103e-05,99.81884057971014
2.947e-05,0.00012068,99.90942028985508
2.947e-05,0.00015999,99.90942028985508
2.947e-05,0.0002121,99.90942028985508
2.947e-05,0.00028118,99.90942028985508
2.947e-05,0.00037276,99.90942028985508
2.947e-05,0.00049417,99.90942028985508
2.947e-05,0.00065513,99.90942028985508
2.947e-05,0.00086851,99.90942028985508
2.947e-05,0.0011514,99.90942028985508
2.947e-05,0.00152642,99.90942028985508
2.947e-05,0.00202359,99.90942028985508
2.947e-05,0.0026827,100.0
2.947e-05,0.00355648,100.0
2.947e-05,0.00471487,100.0
2.947e-05,0.00625055,100.0
2.947e-05,0.00828643,100.0
2.947e-05,0.01098541,100.0
2.947e-05,0.01456348,100.0
2.947e-05,0.01930698,100.0
2.947e-05,0.02559548,100.0
2.947e-05,0.03393222,100.0
2.947e-05,0.04498433,100.0
2.947e-05,0.05963623,100.0
2.947e-05,0.07906043,100.0
2.947e-05,0.10481131,100.0
2.947e-05,0.13894955,100.0
2.947e-05,0.184207,100.0
2.947e-05,0.24420531,100.0
2.947e-05,0.32374575,100.0
2.947e-05,0.42919343,100.0
2.947e-05,0.5689866,100.0
2.947e-05,0.75431201,100.0
2.947e-05,1.0,100.0
3.907e-05,1e-06,99.90942028985508
3.907e-05,1.33e-06,99.90942028985508
3.907e-05,1.76e-06,99.90942028985508
3.907e-05,2.33e-06,99.90942028985508
3.907e-05,3.09e-06,99.90942028985508
3.907e-05,4.09e-06,99.90942028985508
3.907e-05,5.43e-06,99.90942028985508
3.907e-05,7.2e-06,99.90942028985508
3.907e-05,9.54e-06,99.90942028985508
3.907e-05,1.265e-05,99.90942028985508
3.907e-05,1.677e-05,99.90942028985508
3.907e-05,2.223e-05,99.90942028985508
3.907e-05,2.947e-05,99.90942028985508
3.907e-05,3.907e-05,99.90942028985508
3.907e-05,5.179e-05,99.90942028985508
3.907e-05,6.866e-05,99.90942028985508
3.907e-05,9.103e-05,99.90942028985508
3.907e-05,0.00012068,99.90942028985508
3.907e-05,0.00015999,99.90942028985508
3.907e-05,0.0002121,99.90942028985508
3.907e-05,0.00028118,99.90942028985508
3.907e-05,0.00037276,99.90942028985508
3.907e-05,0.00049417,99.90942028985508
3.907e-05,0.00065513,99.90942028985508
3.907e-05,0.00086851,99.90942028985508
3.907e-05,0.0011514,99.90942028985508
3.907e-05,0.00152642,100.0
3.907e-05,0.00202359,100.0
3.907e-05,0.0026827,100.0
3.907e-05,0.00355648,100.0
3.907e-05,0.00471487,100.0
3.907e-05,0.00625055,100.0
3.907e-05,0.00828643,100.0
3.907e-05,0.01098541,100.0
3.907e-05,0.01456348,100.0
3.907e-05,0.01930698,100.0
3.907e-05,0.02559548,100.0
3.907e-05,0.03393222,100.0
3.907e-05,0.04498433,100.0
3.907e-05,0.05963623,100.0
3.907e-05,0.07906043,100.0
3.907e-05,0.10481131,100.0
3.907e-05,0.13894955,100.0
3.907e-05,0.184207,100.0
3.907e-05,0.24420531,100.0
3.907e-05,0.32374575,100.0
3.907e-05,0.42919343,100.0
3.907e-05,0.5689866,100.0
3.907e-05,0.75431201,100.0
3.907e-05,1.0,100.0
5.179e-05,1e-06,100.0
5.179e-05,1.33e-06,100.0
5.179e-05,1.76e-06,100.0
5.179e-05,2.33e-06,100.0
5.179e-05,3.09e-06,100.0
5.179e-05,4.09e-06,100.0
5.179e-05,5.43e-06,100.0
5.179e-05,7.2e-06,100.0
5.179e-05,9.54e-06,100.0
5.179e-05,1.265e-05,100.0
5.179e-05,1.677e-05,100.0
5.179e-05,2.223e-05,100.0
5.179e-05,2.947e-05,100.0
5.179e-05,3.907e-05,100.0
5.179e-05,5.179e-05,100.0
5.179e-05,6.866e-05,100.0
